Field Year,Original sample no,Feature,Period,Feature Type,Light fraction wt.,Charcoal (g),Vol,Total Seed no,Total Seed Density,Millets,Luxury cereal,Bean,Millet %,LC %,Bean %,Foxtail millet,Broomcorn millet,Rice,Wheat,Barley,Beefsteak plant,soybean,azuki,Greenfoxtail,Other Setaria,Panic grass,Panic/manna,Echinocloa,Paniceae,Other grass,Kummerowia sp.,Lespedeza or Melilotus sp.,OtherWild  bean,Chenopod,Knotweed,Sorrel,Mosla,Mustard,Nightshade,Perslane,"Spurge, Borage",Hydrocharitaceae,Gailum sp.,viola sp.,Eleusine,Fimbristylis sp.,Burlush,Sedge,Bramble,Plum,hackberry,Chinese date,berry,grape,other rose family,Unknown seed,Nut,Tuber,Other vegetative,04 mm Done %,0.2mm Done %
2005,,Ter.6 Unit 20 D4,Late Yangshao,Ditch,4.46,0.06,6,11,1.83,1,0,0,9%,0%,0%,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,Ter.6 Unit 3 D1,Late Yangshao,Ditch,6.37,0.35,5,12,2.40,10,0,1,83%,0%,8%,10,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05HYHE,Huizui E,Ter 6 Unit 5 D2,Yangshao,Ditch,3.69,0.54,6,3,0.50,0,0,0,0%,0%,0%,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,18%
2005,,Ter.6 Unit 10  lower layer F2,Late Yangshao,House,2.47,0.02,8,398,49.75,293,0,1,74%,0%,0%,289,4,,,,,,,,3,,,,96,,,,1,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2005,,T3 F1② B1,Late Yangshao,House,11.38,,9,0,0.00,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06HYHE,Huizui E,T5 F8 layer 7,MY,House,13.72,,15,13,0.87,7,0,0,54%,0%,0%,7,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,65%
2005,,Ter./Unit 4 H4,Late Yangshao,Ash pit,,0.60,6,1,0.17,1,0,0,100%,0%,0%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,Ter.7 Unit 8 H35,Late Yangshao,Ash pit,3.54,0.61,8,70,8.75,67,0,0,96%,0%,0%,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2005,,Ter.7 Unit 20 H30,Late Yangshao,Ash pit,3.89,0.35,9,257,28.56,252,3,2,98%,1%,1%,211,41,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,T1 H1②,Late Yangshao,Ash pit,5.01,,10,76,7.60,26,0,0,34%,0%,0%,26,,,,,,,,,2,,1,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
